source	target	weight	p_value
VEGF	KPNA1	1.76324777909273	1.03663343097764e-06
VEGF	GZMB	3.78301466932599	1.03769254166181e-06
VEGF	EBF3	-2.21278869727295	1.04103750659024e-06
VEGF	AGPAT4-IT1	1.84011567343786	1.0507294566444e-06
VEGF	CTTNBP2NL	3.33946877737576	1.07470523469594e-06
VEGF	ZNF135	-1.00044603331638	1.09611466870287e-06
VEGF	C1QTNF3	-1.24383480217362	1.10554652996142e-06
VEGF	PCNX2	-1.20009014073081	1.11195305041478e-06
VEGF	GGTA1	-1.53205925418159	1.12361778090321e-06
VEGF	TLR10	-1.35516143901222	1.12646989724651e-06
VEGF	CHST6	-3.40143744482557	1.12850442816434e-06
VEGF	BCDIN3D	3.37845467031559	1.13775414770798e-06
VEGF	THBD	4.70758608517934	1.17502710299356e-06
VEGF	FAM30A	-1.18260130657951	1.20927246449118e-06
VEGF	BABAM2	-1.85382633897077	1.23011075166066e-06
VEGF	FCRL5	-1.25670398495817	1.23357720019592e-06
VEGF	CCR6	1.63476455323293	1.24212184798495e-06
VEGF	SORBS2	-1.74180293211608	1.26586339091034e-06
VEGF	CRIP1	-2.90111883354558	1.3922715263046e-06
VEGF	ZNF2	2.16331408213424	1.41861985480895e-06
VEGF	RAB14	1.51266741588035	1.43268375472554e-06
VEGF	HAS2	4.30019249436754	1.47331938379055e-06
VEGF	MFHAS1	3.03013382091717	1.47919918843995e-06
VEGF	TARS1	2.51561309374285	1.48510877131503e-06
VEGF	ADAMTS18	-1.11448949816462	1.49720112857685e-06
VEGF	RETN	-1.21351169300814	1.50375943051936e-06
VEGF	VGF	2.95219663667164	1.51661441905396e-06
VEGF	FAM162B	-1.24830817751222	1.55352255933986e-06
VEGF	CARD10	1.52165173162868	1.5709317382306e-06
VEGF	KALRN	-0.703405153243918	1.58437254196212e-06
VEGF	SIT1	-1.40329576890685	1.59191192171094e-06
VEGF	CRYGS	2.041610869636	1.62402913878887e-06
VEGF	SLC25A27	-1.80298560122723	1.62820918989513e-06
VEGF	IKBKB	1.73200879677937	1.63333219082415e-06
VEGF	RASGEF1B	-4.15782857054899	1.64480676075499e-06
VEGF	SLC22A4	3.24447020393375	1.66207932807462e-06
VEGF	RALA	2.84938782932806	1.68767300906215e-06
VEGF	WDR89	2.37898039323897	1.79720450365635e-06
VEGF	RYBP	2.72439703436036	1.8163296869941e-06
VEGF	ULK2	-1.9246705428736	1.90549606907132e-06
VEGF	MFAP1	1.97938241563454	1.94563344160567e-06
VEGF	ESX1	-1.07838294608073	2.01597459839114e-06
VEGF	LRRC8C	2.69091533952207	2.05222945312882e-06
VEGF	ANKDD1B	-4.09875625908391	2.0710439976788e-06
VEGF	WASF1	-2.22770474216206	2.12111604401637e-06
VEGF	TNFRSF11A	2.80986259492202	2.13267671837979e-06
VEGF	UTP25	2.48451248768727	2.14070798000443e-06
VEGF	RNF139	-1.9246188980273	2.16583329301597e-06
VEGF	ASB1	1.36635567567313	2.22886569551409e-06
VEGF	ARMH4	-1.55966326905343	2.25896662953279e-06
VEGF	CACNB2	-1.19956012415561	2.28907798226058e-06
VEGF	CISH	2.78549357062377	2.31227615745024e-06
VEGF	ZNF225	2.03053592072035	2.37579745867308e-06
VEGF	RPP38	1.77221006257991	2.45383011336872e-06
VEGF	AR	-1.44948771058941	2.56452682427836e-06
VEGF	ZNF584	1.96027064407114	2.58439612636186e-06
VEGF	RSPH4A	-1.32866867851059	2.59083868296901e-06
VEGF	TVP23B	2.44290505629925	2.66104985132816e-06
VEGF	BLZF1	1.89907359116212	2.67428777516368e-06
VEGF	PLEKHG1	3.63505563750082	2.73124270973459e-06
VEGF	ATXN7L1	-1.42905485079573	2.8623320813452e-06
VEGF	CCDC26	-2.41153746177377	2.89343502494768e-06
VEGF	ZPBP	-0.90191340714837	2.92139161919287e-06
VEGF	CGRRF1	1.79559462570046	2.93392450521958e-06
VEGF	TMEM39A	1.55664099630646	3.08509893061259e-06
VEGF	LCN6	1.11448717007906	3.16450973849345e-06
VEGF	AK5	-2.64007484454549	3.16961038616655e-06
VEGF	KAT6B	-1.69837913703572	3.2041150687173e-06
VEGF	SVEP1	-1.0343527300961	3.21321077625068e-06
VEGF	RGS2	-7.79617455773988	3.22107957635118e-06
VEGF	TMEM9	-2.2295822631901	3.29867822385711e-06
VEGF	TRO	-0.989948323386859	3.32970381533852e-06
VEGF	ITGA8	-1.28577736406611	3.36034716983648e-06
VEGF	SOCS2	2.9548547908793	3.39663396227206e-06
VEGF	ENTPD1	1.74018219324997	3.59127567439905e-06
VEGF	FOXF1	2.10084482203813	3.61865322327325e-06
VEGF	LRRC8B	1.74348033151156	3.64504174696347e-06
VEGF	TBP	1.81091536909003	3.65108246225493e-06
VEGF	PDE1A	-1.29040178590242	3.72984901561245e-06
VEGF	KLHDC4	1.07652143224354	3.7308146288584e-06
VEGF	IL4R	3.66968031293432	3.77925081072269e-06
VEGF	MFAP3	1.83384346882932	3.93393250721335e-06
VEGF	ANAPC10	1.89150461964702	3.98646777086291e-06
VEGF	GPR63	-1.50085489202199	4.0152687347105e-06
VEGF	PABIR1	1.83378582090761	4.03998804370192e-06
VEGF	FGF5	2.72447126845368	4.21225097190439e-06
VEGF	CASP3	2.49592803125476	4.23518796098874e-06
VEGF	TRBV27	1.28762671638744	4.25653544825876e-06
VEGF	EFHC2	-1.16037323160298	4.28670348883664e-06
VEGF	SEC62	2.11397553311195	4.3513461931124e-06
VEGF	ROBO1	-4.52336534106773	4.39174412496719e-06
VEGF	ZNF140	2.4496751087842	4.43739565382589e-06
VEGF	ZBTB9	2.45370697532003	4.49658979137448e-06
VEGF	ITGA1	-2.05503909615733	4.53762992596972e-06
VEGF	LYSMD3	4.07606932076078	4.54543312583938e-06
VEGF	C12orf56	-2.55504532682125	4.65253691178199e-06
VEGF	CAPN2	2.14110615648084	4.74199286873585e-06
VEGF	RASSF10	-2.88746317575561	4.74647042440525e-06
VEGF	COL8A2	-1.62814674909075	5.02648949217909e-06
VEGF	PRKCZ	-2.99459839782328	5.1294621883549e-06
VEGF	CCDC93	1.6256596190981	5.16711883581719e-06
VEGF	ZNF711	-2.04260091840711	5.38891694224697e-06
VEGF	TFIP11	1.11728948804656	5.52402454166901e-06
VEGF	DPT	-0.986721592236307	5.59668928586255e-06
VEGF	ACTR3C	-1.82384227211576	5.62117954439201e-06
VEGF	NPPC	-1.31400281947536	5.67304992645682e-06
VEGF	PITPNA	1.67511095154311	5.70927048230772e-06
VEGF	CHD7	1.5335637167064	5.73429418516034e-06
VEGF	TTC9C	2.14198682237791	5.76584681140118e-06
VEGF	C2orf42	2.15008377365688	5.84771159110707e-06
VEGF	WDR49	-1.28925438083841	5.88986020363552e-06
VEGF	ZBTB16	-2.37393576507243	5.89226788069456e-06
VEGF	TTBK2	-1.47797239663019	5.89234567503608e-06
VEGF	EPB41L5	-1.41857597968789	6.04298850733267e-06
VEGF	FOXL1	1.34940664283026	6.05752539148903e-06
VEGF	DOCK4	2.79637912494141	6.06872361661529e-06
VEGF	RIMS1	-1.09533978066153	6.12442112328111e-06
VEGF	ZFP82	1.99987436301049	6.13917774670089e-06
VEGF	TCF12	-1.39448433338417	6.15749923491755e-06
VEGF	PELO	1.15506182637887	6.17585345845389e-06
VEGF	GZMH	1.50971241207645	6.40310680990303e-06
VEGF	ADRB1	-1.44936946892915	6.47804453450501e-06
VEGF	RFX8	8.18745228779891	6.68071068777931e-06
VEGF	TNFRSF18	3.02803460589923	6.77808910300425e-06
VEGF	VIRMA	1.57438750559013	6.96144869055995e-06
VEGF	ACVR2A	2.59136981616422	7.13192963402332e-06
VEGF	ARSG	4.22361699502968	7.1438608030508e-06
VEGF	CDKN1C	-2.81372908058033	7.20935826344514e-06
VEGF	LCMT2	1.3837396641547	7.33082765817734e-06
