gene	cluster	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
JOSD2	8	4.13535015331092e-11	1.15618078562778	0.401	0.195	7.48332963743143e-07
BOLA3	8	4.92974947709589e-11	1.17145333312812	0.401	0.189	8.92087465375272e-07
MRPS21	8	5.28096235617049e-11	0.804903645655799	0.743	0.478	9.55642947972612e-07
MVP	8	6.00840161358966e-11	1.08747494048876	0.401	0.191	1.08728035599518e-06
CST3	8	6.01144113237027e-11	0.268722302200608	0.982	0.805	1.08783038731372e-06
SEPT7	8	6.62648035824935e-11	0.642873871519726	0.82	0.567	1.1991278856288e-06
ROMO1	8	7.03667415170336e-11	0.856252118978159	0.671	0.425	1.27335655449224e-06
TOMM7	8	7.29664360389308e-11	0.429970980401232	0.964	0.865	1.32040062656049e-06
COPB2	8	7.39816509533309e-11	1.17621012834025	0.341	0.147	1.33877195565148e-06
YWHAE	8	9.01554778473161e-11	0.851479318789233	0.689	0.452	1.63145352712503e-06
CD81	8	9.36341974054786e-11	0.58005924570324	0.94	0.728	1.69440443624954e-06
BASP1	8	1.03263083076081e-10	1.2224728510289	0.437	0.232	1.86864875134477e-06
HDDC2	8	1.05219836932051e-10	1.22731365925651	0.347	0.157	1.90405816912239e-06
OSBPL8	8	1.30492608603793e-10	1.03917231558836	0.371	0.168	2.36139424529424e-06
MRPL51	8	1.44962983526163e-10	0.803456735582028	0.641	0.392	2.62325014988945e-06
MORF4L1	8	1.78227941933068e-10	0.662594066027923	0.826	0.604	3.22521283722081e-06
GPAA1	8	1.85831837024992e-10	1.02515675133713	0.461	0.242	3.36281292280425e-06
ARHGDIA	8	1.86507820617843e-10	0.744526365444109	0.725	0.463	3.37504552190048e-06
ENG	8	2.10903991706845e-10	0.564623568237091	0.521	0.282	3.81651863392707e-06
COX7A2L	8	2.30150893846404e-10	0.820213900851632	0.659	0.421	4.16481057504453e-06
MTCH1	8	2.89925447714161e-10	0.838178464233098	0.557	0.316	5.24649090183547e-06
RSU1	8	3.37814592123358e-10	1.21802164619367	0.299	0.126	6.11309285906429e-06
RPL7	8	3.41518279666283e-10	0.519815191907597	0.946	0.817	6.18011478884105e-06
PDE4DIP	8	3.89274049146248e-10	1.27756788278336	0.323	0.143	7.0443031933505e-06
GINM1	8	4.51564061267215e-10	1.2617135374036	0.359	0.172	8.17150325269153e-06
COMMD6	8	4.68603342033353e-10	0.527212880395932	0.91	0.723	8.47984607743555e-06
PCBD1	8	4.99639807281019e-10	1.10710864877027	0.359	0.168	9.04148195255732e-06
NEDD8	8	5.12332856483531e-10	0.713257877688555	0.832	0.608	9.27117537092598e-06
SOD1	8	5.3952014430659e-10	0.672540954612215	0.802	0.545	9.76315653137205e-06
GUK1	8	5.50948307945018e-10	0.571164913607319	0.946	0.814	9.96996058057305e-06
YBX3	8	5.82337535230797e-10	0.643186503951339	0.497	0.254	1.05379800375365e-05
MORF4L2	8	6.26336769255377e-10	0.774794048340666	0.569	0.328	1.13341901764453e-05
DNAJC10	8	6.63273961153344e-10	1.11336085808261	0.371	0.18	1.20026056010309e-05
MALSU1	8	6.80690553433119e-10	1.22425791007938	0.293	0.125	1.23177762549257e-05
TBCA	8	6.83556075074784e-10	0.632380515767095	0.814	0.554	1.23696307345533e-05
NDUFA4	8	7.89094581194433e-10	0.59497061562384	0.922	0.867	1.42794555412945e-05
